country,country_code,lat,lon,indicator_name,indicator_code,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006
Afghanistan,AFG,33.93911,67.709953,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,2.369786136,1.950429571,1.861299883
Albania,ALB,41.153332,20.168331,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.379028731,1.283081574,1.238243077,1.249208821,1.246359339,1.309292251,1.320034991,1.336844537,1.381158684,1.350005455,1.567769463
Algeria,DZA,28.033886,1.659626,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.094124505,3.637364334,3.965659634,3.755079887,3.433394,3.820692661,3.700826659,3.251210213,3.283886286,2.834176701,2.643808854
Angola,AGO,-11.202692,17.873887,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.447848157,5.972251161,2.642007707,17.33469221,6.392603154,4.524353815,3.510235068,4.722133792,4.162414738,4.834841974,4.714844928
Argentina,ARG,-38.416097,-63.616672,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.241228405,1.140139111,1.136317072,1.220359548,1.148823687,1.184234644,1.091880479,1.060893646,0.883295359,0.843934081,0.7847769
Armenia,ARM,40.069099,45.038189,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.281866893,3.909403452,3.528096049,3.697375386,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156
Australia,AUS,-25.274398,133.775136,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.981624319,1.921401146,1.921930288,1.941738964,1.898814641,1.930954977,1.941429914,1.911529623,1.893647825,1.880242405,1.895674734
Austria,AUT,47.516231,14.550072,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.038253691,1.019597081,0.992196272,0.980245979,0.980318028,0.908241361,0.883529203,0.913639409,0.893480392,0.853723727,0.789783772
Azerbaijan,AZE,40.143105,47.576927,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.243321171,2.426362555,2.629450312,2.299069675,3.417753863
Bahrain,BHR,25.930414,50.637772,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.273939994,5.0684872,5.333103953,5.503113296,3.96167098,4.148081656,4.611106587,4.658832831,4.044928886,3.214394465,3.102947728
Bangladesh,BGD,23.684994,90.356331,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.001406007,0.001452923,0.001450155,0.001468352,0.001438584,0.001351377,0.001255852,0.001201068,0.001196547,0.001165342,0.001185741
Belarus,BLR,53.709807,27.953389,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.260691246,1.768966069,1.49509849,1.366759067,1.34698592,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492
Belgium,BEL,50.503887,4.469936,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.507670564,1.445819709,1.406117798,1.382981337,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186
Belize,BLZ,17.189877,-88.49765,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.24198257,1.435854188,null,null,0.855229013,0.855029176,0.839624896,0.863534853,0.896742494,0.96129472,1.008900564
Benin,BEN,9.30769,2.315834,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,0.663365739,0.564235731,0.489234998,0.851197745,0.884527271,0.924055932,0.93065751,0.909814422
Bolivia,BOL,-16.290154,-63.588653,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.986805055,2.273612157,2.691109365,2.133288202,2.062971519,2.264905361,2.029450836,2.145790846,1.924981795,1.772542641,1.567656204
Bosnia and Herzegovina,BIH,43.915886,17.679076,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,3.624072153,2.416656871,1.996645883,1.543919077,1.386327224
Botswana,BWA,-22.328474,24.684866,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.899490534,3.197192243,3.779391425,3.092100594,3.191233589,3.831250643,4.110224895,4.007360569,3.505881777,2.858011393,2.695116768
Brazil,BRA,-14.235004,-51.92528,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.654844676,1.57768864,1.662291952,1.645473844,1.730724806,1.951881656,1.895770251,1.503477107,1.461269314,1.524013814,1.481084895
Brunei Darussalam,BRN,4.535277,114.727669,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.418965756,7.101205132,7.256637168,5.61754521,4.069210092,3.886214044,3.870758675,3.711424264,2.532726738,2.608095406,2.558186746
Bulgaria,BGR,42.733883,25.48583,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.112915306,2.182695199,2.189749735,2.64517441,2.672172536,2.87226097,2.786897403,2.700166772,2.493817765,2.345433634,2.189156344
Burkina Faso,BFA,12.238333,-1.561593,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.435960425,1.574935993,1.408061617,1.385531386,1.392430725,1.309456569,1.324823431,1.206865304,1.357519347,1.351771098,1.242719527
Burundi,BDI,-3.373056,29.918886,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.856328392,6.359393232,6.571714143,6.258234519,4.861850184,6.071040806,5.441041579,5.532779782,4.902661624,4.435617345,3.512254715
Cambodia,KHM,12.565679,104.990963,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.238454376,3.003352617,2.662043769,2.510034122,2.20981321,1.776677795,1.519617528,1.447518854,1.29674221,1.127579071,1.043100079
Cameroon,CMR,7.369722,12.354722,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.224839059,1.301241322,1.396508406,1.443852984,1.324748865,1.290360035,1.338506756,1.383814217,1.401603832,1.344866645,1.431108112
Canada,CAN,56.130366,-106.346771,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.370733341,1.217056716,1.226374834,1.21448824,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408
Central African Republic,CAF,6.611111,20.939444,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.210192071,null,null,null,null,null,1.077475347,1.31773243,1.189184355,1.140204375,null
Chad,TCD,15.454166,18.732207,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.544558526,1.075879454,0.922917332,1.36522796,1.541381137,1.532300729,1.725196702,1.496336428,1.144773061,0.834877634,3.004423666
Chile,CHL,-35.675147,-71.542969,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.513022177,2.560865483,2.661292952,2.798979023,2.652054546,2.617046581,2.506946831,2.348625823,2.476464807,2.412496729,2.411660704
China,CHN,35.86166,104.195397,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.686051138,1.674802087,1.703300374,1.922053121,1.892938442,2.081184198,2.185412706,2.115686315,2.063710599,2.000424664,2.01072345
Colombia,COL,4.570868,-74.297333,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.445376084,2.801799373,3.440977855,3.762741934,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.352873388,3.276130639
"Congo, Dem. Rep.",COD,-4.038333,21.758664,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.54674774,1.376250017,0.428432721,1.158153933,0.220260773,null,null,0.880641831,1.336616943,1.380795458,1.43463136
"Congo, Rep.",COG,-0.228021,15.827659,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,1.948493873,2.341203858,2.682498277,2.673874094,1.657893917,1.637114728
Cote d'Ivoire,CIV,7.539989,-5.54708,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.845688055,0.797853682,null,null,null,null,null,1.391605092,1.51507182,1.462534212,1.501948666
Croatia,HRV,45.1,15.2,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,8.187699921,7.544170426,5.612041836,4.429628618,3.030055777,2.702773772,2.729612503,2.046839547,1.757979789,1.759644104,1.684163393
Cuba,CUB,21.521757,-77.781167,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,3.506817264,3.410744762,3.868521393,3.238210083
Cyprus,CYP,35.126413,33.429859,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.524714829,5.57391077,4.676317946,2.73385097,2.76736545,3.102672608,2.093850865,1.981136473,1.944338817,2.008085536,1.869181864
Czech Republic,CZE,49.817492,15.472962,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.683130846,1.603856222,1.756899486,1.863321861,1.882708218,1.755096912,1.829188592,1.898993382,1.716384425,1.793907376,1.578452587
Denmark,DNK,56.26392,9.501785,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.644816658,1.615961205,1.608026388,1.564854723,1.457444051,1.53238072,1.508149852,1.46685125,1.424441992,1.311031511,1.377121351
Djibouti,DJI,11.825138,42.590275,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.964975226,5.282305006,5.192776067,4.995344941,4.721263549,4.550548213,5.625064252,6.713951284,5.608363252,6.328698815,6.440045373
Dominican Republic,DOM,18.735693,-70.162651,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.630320831,0.783204378,0.780062374,0.816243888,1.043363424,1.247951667,1.090451903,0.777279333,0.70800214,0.81421409,0.724549188
Ecuador,ECU,-1.831239,-78.183406,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.661789704,1.772774252,1.962964263,1.507477547,1.452075953,1.569375982,1.768891985,2.278553365,1.940332799,2.298402791,2.029825877
"Egypt, Arab Rep.",EGY,26.820553,30.802498,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.127942459,2.889996239,2.796276966,2.702048114,2.682593355,3.139252858,3.447215624,3.340838323,3.025654234,2.853936862,2.740375587
El Salvador,SLV,13.794185,-88.89653,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.074409153,1.007766206,0.922942908,0.92054924,0.840334094,1.090673504,1.130239678,0.841380502,0.810213757,0.777474874,0.76600883
Equatorial Guinea,GNQ,1.650801,10.267895,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,null,null,null
Eritrea,ERI,15.179384,39.782334,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,21.95935218,12.8311476,35.2774689,39.60651651,32.65567104,22.13679153,20.67187828,20.86574527,null,null,null
Estonia,EST,58.595272,25.013607,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.873596984,1.046772137,1.067491613,1.287113987,1.376327428,1.502213902,1.667129758,1.743048475,1.699688699,1.899256813,1.857013647
Ethiopia,ETH,9.145,40.489673,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.487174758,2.70961094,6.064489465,9.662831295,7.55585536,4.315901098,3.691078964,3.238706821,3.075838945,2.763079823,2.266839782
Fiji,FJI,-16.578193,179.414413,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.542838019,1.478614667,1.36403682,1.22604763,1.902479248,1.97650996,1.677510099,1.61027625,1.715759387,1.433805394,1.742541049
Finland,FIN,61.92411,25.748151,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.530472271,1.535155051,1.463175558,1.223103772,1.241147504,1.144512833,1.154637229,1.323357679,1.344674622,1.341955264,1.321445537
France,FRA,46.227638,2.213749,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.874458874,2.827952381,2.65032647,2.592746984,2.471010965,2.407503679,2.426268254,2.484613158,2.495382169,2.400989177,2.344886085
Gabon,GAB,-0.803689,11.609444,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,1.801452248,1.793952098,1.783170277,1.668327933,1.613166169,1.248682169,1.28261921
"Gambia, The",GMB,13.443182,-15.310139,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.463277798,0.519690011,0.481928244,0.431932626,0.42450719,0.357026297,0.390720316,0.410205891,0.333698104,0.478245107,0.425347641
Georgia,GEO,42.315407,43.356892,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.210173031,1.253587681,1.136973961,0.924374864,0.615582488,0.740186006,1.000532992,1.068489122,1.373838927,3.339166906,5.218303931
Germany,DEU,51.165691,10.451526,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55726982,1.497186199,1.47763139,1.482071597,1.443623375,1.405968301,1.410769976,1.399048683,1.348089949,1.329937502,1.268776768
Ghana,GHA,7.946527,-1.023194,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.640673093,0.659996882,0.767876966,0.768034675,1.02115459,0.608709585,0.599647988,0.697575641,0.634514033,0.598185497,0.371050447
Greece,GRC,39.074208,21.824312,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.162777722,3.194917788,3.340208112,3.360469944,3.46535532,3.251412857,3.077374575,2.493894752,2.605672529,2.836596278,2.78341887
Guatemala,GTM,15.783471,-90.230759,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.820603087,0.742815313,0.720836747,0.67560091,0.818335289,1.052063338,0.762245036,0.815655232,0.479415924,0.383913781,0.431829471
Guinea,GIN,9.945587,-9.696645,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,1.172671371,1.255008515,1.595106264,1.534637451,3.100210665,3.32468041,2.441181415,2.22856433,null,null
Guinea-Bissau,GNB,11.803749,-15.180413,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.701776941,0.676895595,1.404761905,null,2.574832578,1.576220201,1.530165127,1.575428801,null,2.064850055,null
Guyana,GUY,4.860416,-58.93018,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.787822958,null,null,null,1.765990772,2.063973957,2.304933565,2.20308112,2.81610459,2.243545032,1.314888137
Honduras,HND,15.199999,-86.241905,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,0.72992906,0.822610515,0.809187514,0.998264922,0.682692754,0.641478464,0.692430001
Hungary,HUN,47.162494,19.503304,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.257619408,1.475196388,1.270949581,1.432393313,1.516342228,1.573770031,1.597444456,1.647922971,1.478008317,1.417626305,1.228272802
Iceland,ISL,64.963051,-19.020835,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,null,null,null
India,IND,20.593684,78.96288,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.472768226,2.647732426,2.727311417,2.957195647,2.948929906,2.924435546,2.82686683,2.677776932,2.828752248,2.754907666,2.52680863
Indonesia,IDN,-0.789275,113.921327,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.264392547,1.497740837,1.019117375,0.810811467,0.684483813,0.572791957,0.700118902,0.909282978,0.945716157,0.750789096,0.71642548
"Iran, Islamic Rep.",IRN,32.427908,53.688046,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.299675952,2.570874914,2.715955361,2.455130688,2.340065309,2.465876519,2.188888749,2.420837311,2.854492059,3.091594419,3.383574717
Iraq,IRQ,33.223191,43.679291,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,1.675578078,2.242580305,1.897571722
Ireland,IRL,53.41291,-8.24389,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.989927095,0.924066049,0.823869495,0.750669684,0.695683056,0.703621616,0.634052674,0.587535936,0.568322886,0.54090171,0.51275059
Israel,ISR,31.046051,34.851612,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,8.675008345,8.414953381,7.858117941,7.342804734,7.074483696,7.288159034,8.25697849,8.459629043,8.137739623,7.57301949,7.405750319
Italy,ITA,41.87194,12.56738,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.790859453,1.833926487,1.854012296,1.897745027,1.962862982,1.89330863,1.92354814,1.926714284,1.89703863,1.809662295,1.719822852
Jamaica,JAM,18.109581,-77.297508,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.640253877,0.734083919,0.544948341,0.511051526,0.486829877,0.509359166,0.585431531,0.581595977,0.535969813,0.527663378,0.608922707
Japan,JPN,36.204824,138.252924,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.911247076,0.920437898,0.938594775,0.945248337,0.931136156,0.947079856,0.955834672,0.955673906,0.941607638,0.931581653,0.917197038
Jordan,JOR,30.585164,36.238414,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.025805062,6.132841195,6.276042008,6.284002099,6.25847554,5.894372653,5.447173087,6.002453617,5.143444803,4.795322795,4.659324025
Kazakhstan,KAZ,48.019573,66.923684,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.149355709,1.068090788,1.09619801,0.85298154,0.78464508,0.999817479,0.998337702,1.029927459,0.988239741,1.036322127,0.978995805
Kenya,KEN,-0.023559,37.906193,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.417954703,1.340636858,1.220122232,1.178021228,1.30326707,1.504428942,1.626853318,1.650096927,1.614182837,1.690688516,1.45517741
Kosovo,KSV,42.602636,20.902977,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,null,null,null
Kuwait,KWT,29.31166,47.481766,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,10.29238661,8.086677891,8.795892188,7.590712201,7.150677038,7.69709996,7.3986195,6.539566833,5.804361477,4.343449328,3.54258568
Kyrgyz Republic,KGZ,41.20438,74.766098,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.988273153,3.112267278,2.66756189,2.599416244,2.878901155,2.346375974,2.726257666,2.866285914,2.848509992,3.077725096,3.168714263
Lao PDR,LAO,19.85627,102.495496,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.1867336,3.838815192,2.605123174,1.057660388,0.793349472,0.717115235,0.650379556,0.54706242,0.485842489,0.437425295,0.38838603
Latvia,LVA,56.879635,24.603189,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.639144683,0.582114909,0.587847986,0.750940828,0.881715012,1.041538764,1.542208276,1.610024275,1.595658217,1.610621927,1.715018634
Lebanon,LBN,33.854721,35.862285,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.373543175,4.305154639,4.023098398,4.77062121,5.388162952,5.430901642,4.738154613,4.597853014,4.555239,4.521516936,4.629009678
Lesotho,LSO,-29.609988,28.233608,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.996188612,2.875771627,2.994956662,3.733473625,3.443682944,2.832838734,2.521317747,2.363375541,2.076934302,1.998397106,1.95682073
Liberia,LBR,6.428055,-9.429499,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,null,null,0.670318096,1.459090909,0.649803346
Libya,LBY,26.3351,17.228331,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,4.078026716,5.297441532,3.206280714,2.836445261,2.403100775,2.210518222,2.082093992,2.076220999,1.45966544,1.117759495
